Term,Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
Spring,GE494,A,4,M, 1:00pm- 4:00pm,Topics in Geoscience,W3, ,MUDD 219,5,12,0,Gastaldo   
Spring,GK112,A,4,MTWR,11:00am-11:50am,Intermediate Greek,, ,LOVE 244,6,15,1,Barrett    
Spring,GK362,A,4,TR, 2:30pm- 3:45pm,Sophocles: <I>Ajax</I>,L, ,LOVE 244,2,20,9,Barrett    
Spring,GM126,A,4,MTRF, 8:00am- 8:50am,Elementary German II,, ,LOVE 207,13,20,14,"Bradley, R "
Spring,GM128,A,4,MTRF, 9:00am- 9:50am,Intermediate German II: Readings in Cultural Contexts,, ,LOVE 302,10,19,10,"Bradley, R "
Spring,GM130,A,1,R, 7:00pm- 7:50pm,Conversation Group,, ,LOVE 450,6,15, ,Williamson 
Spring,GM236,A,4,MW,11:00am-12:15pm,ConTexts in German Culture,, ,LOVE 450,2,15,0,Manektala  
Spring,GM298A,A,4,TR,11:00am-12:15pm,Environmental Humanities: Nature Philosophy's Roots,L, ,LOVE 302,14,20,0,"Bradley, R "
Spring,GM298B,A,4,TR, 2:30pm- 3:45pm,Weimar Culture: Germany Between the World Wars (See HI398C),H, , ,0, , ,Hollander  
Spring,GM330,A,1,T, 7:00pm- 7:50pm,Current Topics,, ,LOVE 450,4,15, ,Williamson 
Spring,GM493,A,4,W, 1:00pm- 3:30pm,Seminar: Ideologies and Identities,L, ,LOVE 450,2,15,0,Manektala  
Spring,GO111,A,4,TR, 2:30pm- 3:45pm,Introduction to American Government and Politics,S, ,DIAM 122,37,40,0,Shea       
Spring,GO115,A,4,TR, 9:30am-10:45am,Great Issues in Contemporary American Government,"S,W1", ,DIAM 241,16,16, ,Maisel     
Spring,GO131,A,4,MWF, 9:00am- 9:50am,Introduction to International Relations,S, ,DIAM 142,39,40,10,Babik      
Spring,GO131,B,4,TR,11:00am-12:15pm,Introduction to International Relations,S, ,LOVE 215,39,40,6,Seay       
Spring,GO171,A,4,MW, 1:00pm- 2:15pm,Introduction to Political Theory,S,I ,DIAM 122,43,40,4,Corrado    
Spring,GO226,A,4,TR,11:00am-12:15pm,Media and Politics,S, ,LOVE 213,25,25,6,Shea       
Spring,GO238,A,4,TR, 7:00pm- 8:30pm,Politics of War Crime Tribunals,S, ,DIAM 241,8,25,2,Rodman     
Spring,GO251,A,4,MW,11:00am-12:15pm,Israelis and Palestinians: Conflict and Accommodation,S, ,DIAM 342,18,25,1,Denoeux    
Spring,GO259,A,4,TR, 9:30am-10:45am,Introduction to European Politics,, ,DIAM 122,32,25,8,Yoder      
Spring,GO260,A,4,MWF,10:00am-10:50am,"9/11: Origins, Event, Aftermath",S, ,DIAM 344,25,25,11,Babik      
Spring,GO263,A,4,MW, 2:30pm- 3:45pm,Global Crisis of Democracy and Democracy Assistance,S, ,DIAM 145,21,25,5,Denoeux    
Spring,GO264,A,4,MW, 7:00pm- 8:15pm,Democracy and Human Rights in Latin America,"S,W2",I ,DIAM 241,14,16,5,Mayka      
Spring,GO281,A,4,MWF, 9:00am- 9:50am,Concepts and Methods of Political Science Research,Q, ,DIAM 241,20,18,10,Levan      
Spring,GO281,B,4,MWF,10:00am-10:50am,Concepts and Methods of Political Science Research,Q, ,DIAM 241,19,18,11,Mayka      
Spring,GO312,A,4,TR, 9:30am-10:45am,Suburban Politics,,U ,LOVE 205,24,25,8,Levan      
Spring,GO313,A,4,MW, 2:30pm- 3:45pm,National Powers in American Constitutional Law,, ,DIAM 241,15,25,3,Reisert    
Spring,GO318,A,4,TR,11:00am-12:15pm,Money and Politics,, ,DIAM 122,23,25,0,Corrado    
Spring,GO354,A,4,MW, 1:00pm- 2:15pm,The European Union,, ,DIAM 241,19,25,0,Yoder      
Spring,GO417,A,4,T, 1:00pm- 3:30pm,Seminar: Reinventing America: A Constitution for the 21st Century,, ,DIAM 241,12,12,0,Reisert    
Spring,GO432,A,4,R, 1:00pm- 3:30pm,Seminar: U.S. Foreign Policy,, ,DIAM 241,11,12,0,Rodman     
